<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,30,20160104,180000,102.6100000,103.6900000,102.0000000,102.6923000,9305131
US1.AAPL,30,20160104,183000,102.6800000,103.5900000,102.3800000,103.2800000,4822555
US1.AAPL,30,20160104,190000,103.2861000,103.9350000,103.0100000,103.3420000,3886702
US1.AAPL,30,20160104,193000,103.3300000,103.4700000,102.5000000,103.4241000,3235895
US1.AAPL,30,20160104,200000,103.4200000,103.9000000,103.2050000,103.8300000,2501232
US1.AAPL,30,20160104,203000,103.8400000,104.0500000,103.6900000,103.8700000,2274084
US1.AAPL,30,20160104,210000,103.8750000,104.8900000,103.8100000,104.7825000,3292482
US1.AAPL,30,20160104,213000,104.7800000,104.9900000,104.5700000,104.6699000,2672671
US1.AAPL,30,20160104,220000,104.6600000,104.8100000,104.3100000,104.6401000,2187783
US1.AAPL,30,20160104,223000,104.6400000,105.3680000,104.4100000,105.2299000,3509715
US1.AAPL,30,20160104,230000,105.2200000,105.2790000,104.5900000,104.7500000,2274215
US1.AAPL,30,20160104,233000,104.7500000,104.7500000,103.8300000,104.0501000,2966148
US1.AAPL,30,20160105,000000,104.0500000,105.3600000,104.0200000,105.3300000,4915060
US1.AAPL,30,20160105,180000,105.7500000,105.8500000,104.1000000,104.1380000,5539989
US1.AAPL,30,20160105,183000,104.1200000,104.3700000,103.8300000,104.2040000,3099360
US1.AAPL,30,20160105,190000,104.2068000,104.9500000,104.1900000,104.4950000,2493827
US1.AAPL,30,20160105,193000,104.4950000,104.5500000,103.8700000,103.9200000,2243689
US1.AAPL,30,20160105,200000,103.9300000,104.2900000,103.8900000,104.0900000,1430415
US1.AAPL,30,20160105,203000,104.0950000,104.1000000,102.4100000,103.1010000,9052290
US1.AAPL,30,20160105,210000,103.1000000,103.5600000,102.7200000,103.0250000,3842207
US1.AAPL,30,20160105,213000,103.0400000,103.3300000,102.7500000,103.0350000,2586480
US1.AAPL,30,20160105,220000,103.0350000,103.7500000,102.9400000,103.4800000,2946496
US1.AAPL,30,20160105,223000,103.4850000,103.7400000,103.2151000,103.5550000,2511160
US1.AAPL,30,20160105,230000,103.5500000,103.5700000,102.9089000,103.0000000,2574901
US1.AAPL,30,20160105,233000,103.0000000,103.0900000,102.6150000,102.8044000,3471172
US1.AAPL,30,20160106,000000,102.8100000,102.9400000,102.6000000,102.7100000,5523702
US1.AAPL,30,20160106,180000,100.5600000,101.8700000,100.2200000,101.4098000,9859173
US1.AAPL,30,20160106,183000,101.3900000,102.3700000,100.9900000,102.3500000,5604389
US1.AAPL,30,20160106,190000,102.3500000,102.3500000,101.1800000,101.5100000,3687236
US1.AAPL,30,20160106,193000,101.5100000,102.1600000,101.4600000,101.8750000,3489352
US1.AAPL,30,20160106,200000,101.8800000,101.9237000,101.1700000,101.1800000,2636744
US1.AAPL,30,20160106,203000,101.1850000,101.3160000,100.6500000,100.6700000,4401821
US1.AAPL,30,20160106,210000,100.6700000,101.1400000,100.3561000,100.3663000,3904904
US1.AAPL,30,20160106,213000,100.3700000,100.7600000,100.0750000,100.5900000,4057749
US1.AAPL,30,20160106,220000,100.5950000,100.6900000,100.2500000,100.2960000,2117963
US1.AAPL,30,20160106,223000,100.3000000,100.9369000,100.2000000,100.5850000,3372431
US1.AAPL,30,20160106,230000,100.5900000,100.6700000,99.9600000,100.1000000,5700029
US1.AAPL,30,20160106,233000,100.1100000,100.2900000,99.8700000,100.2460000,5541361
US1.AAPL,30,20160107,000000,100.2500000,100.7400000,100.1600000,100.7000000,5750422
US1.AAPL,30,20160107,180000,98.6300000,99.6300000,97.7600000,98.9901000,12022720
US1.AAPL,30,20160107,183000,98.9900000,99.5000000,98.4300000,99.3500000,5388804
US1.AAPL,30,20160107,190000,99.3600000,100.0000000,99.2800000,99.7900000,5209517
US1.AAPL,30,20160107,193000,99.7965000,100.1300000,99.2310000,99.2600000,3515115
US1.AAPL,30,20160107,200000,99.2600000,99.4600000,98.8100000,99.0050000,2891279
US1.AAPL,30,20160107,203000,99.0100000,99.1300000,98.6100000,98.7000000,2601434
US1.AAPL,30,20160107,210000,98.6900000,98.7500000,98.0700000,98.1840000,3048346
US1.AAPL,30,20160107,213000,98.1700000,98.2300000,97.6700000,97.9437000,4979987
US1.AAPL,30,20160107,220000,97.9500000,98.1400000,97.7000000,97.7815000,4758091
US1.AAPL,30,20160107,223000,97.7895000,97.8700000,97.1900000,97.2300000,4267831
US1.AAPL,30,20160107,230000,97.2200000,97.6500000,96.6800000,97.1699000,5456985
US1.AAPL,30,20160107,233000,97.1500000,97.4700000,96.6000000,96.6000000,4438734
US1.AAPL,30,20160108,000000,96.6000000,97.3800000,96.4300000,96.5400000,9509685
US1.AAPL,30,20160108,180000,98.4400000,99.1100000,97.7000000,99.0850000,11900214
US1.AAPL,30,20160108,183000,99.0800000,99.0998000,97.6360000,97.8950000,5847762
US1.AAPL,30,20160108,190000,97.9000000,98.1700000,97.3100000,97.6350000,4009603
US1.AAPL,30,20160108,193000,97.6400000,97.9500000,97.0800000,97.2900000,4507973
US1.AAPL,30,20160108,200000,97.2900000,97.9400000,96.7600000,97.9400000,4478811
US1.AAPL,30,20160108,203000,97.9300000,98.9100000,97.8200000,98.8140000,5988667
US1.AAPL,30,20160108,210000,98.8200000,98.8299000,98.1710000,98.4850000,3038650
US1.AAPL,30,20160108,213000,98.4800000,98.7200000,98.2400000,98.4200000,2735368
US1.AAPL,30,20160108,220000,98.4200000,98.9500000,98.3564000,98.4900000,2665861
US1.AAPL,30,20160108,223000,98.4922000,98.5608000,97.4200000,97.4900000,3391716
US1.AAPL,30,20160108,230000,97.4800000,98.0800000,97.4501000,97.6400000,2616977
US1.AAPL,30,20160108,233000,97.6300000,97.9900000,97.3575000,97.4500000,2484660
US1.AAPL,30,20160109,000000,97.4400000,97.4435000,96.9000000,96.9800000,6735579
US1.AAPL,30,20160111,180000,98.9700000,99.0600000,97.3400000,97.9600000,6644266
US1.AAPL,30,20160111,183000,97.9500000,98.4600000,97.8000000,98.1199000,4078605
US1.AAPL,30,20160111,190000,98.1100000,98.3900000,97.6700000,97.7400000,3136889
US1.AAPL,30,20160111,193000,97.7300000,98.0800000,97.5000000,97.8400000,2854278
US1.AAPL,30,20160111,200000,97.8300000,98.4600000,97.6800000,98.2714000,2619543
US1.AAPL,30,20160111,203000,98.2800000,98.4500000,97.7805000,97.8600000,2023932
US1.AAPL,30,20160111,210000,97.8500000,98.0900000,97.7600000,98.0150000,2179657
US1.AAPL,30,20160111,213000,98.0200000,98.2250000,97.7000000,97.9001000,2358454
US1.AAPL,30,20160111,220000,97.9100000,98.0200000,97.5800000,97.6940000,2152102
US1.AAPL,30,20160111,223000,97.6925000,98.5000000,97.6400000,98.3500000,2970321
US1.AAPL,30,20160111,230000,98.3600000,98.5900000,97.9300000,98.0700000,2672855
US1.AAPL,30,20160111,233000,98.0600000,98.5650000,97.5000000,98.4700000,3625612
US1.AAPL,30,20160112,000000,98.4725000,98.8550000,98.3200000,98.5300000,5398853
US1.AAPL,30,20160112,180000,100.5500000,100.6900000,99.8300000,100.3800000,8851738
US1.AAPL,30,20160112,183000,100.3800000,100.6200000,99.7100000,100.0200000,4532844
US1.AAPL,30,20160112,190000,100.0200000,100.1775000,99.3700000,99.7265000,3052363
US1.AAPL,30,20160112,193000,99.7000000,99.8100000,99.1100000,99.4100000,2619334
US1.AAPL,30,20160112,200000,99.4100000,99.7000000,99.1400000,99.6501000,2491217
US1.AAPL,30,20160112,203000,99.6500000,99.8700000,99.2200000,99.3535000,2008598
US1.AAPL,30,20160112,210000,99.3400000,99.5000000,99.0300000,99.2300000,2022550
US1.AAPL,30,20160112,213000,99.2150000,99.6900000,99.2100000,99.2889000,1792167
US1.AAPL,30,20160112,220000,99.2850000,99.6600000,99.2000000,99.3000000,1573164
US1.AAPL,30,20160112,223000,99.3100000,99.4300000,98.8399000,99.3200000,2937754
US1.AAPL,30,20160112,230000,99.3100000,99.7200000,99.2799000,99.6250000,2238039
US1.AAPL,30,20160112,233000,99.6210000,99.8850000,99.2000000,99.6900000,2670135
US1.AAPL,30,20160113,000000,99.6861000,100.2200000,99.6000000,99.9600000,5025205
US1.AAPL,30,20160113,180000,100.3200000,100.8200000,99.8800000,100.4550000,7657379
US1.AAPL,30,20160113,183000,100.4500000,100.7700000,100.0000000,100.2100000,4002366
US1.AAPL,30,20160113,190000,100.2100000,100.3262000,99.8500000,100.2600000,3823859
US1.AAPL,30,20160113,193000,100.2550000,101.1900000,100.0800000,100.8400000,4158120
US1.AAPL,30,20160113,200000,100.8500000,101.1900000,100.3100000,100.7100000,3284263
US1.AAPL,30,20160113,203000,100.7100000,100.7500000,100.0800000,100.1968000,2920340
US1.AAPL,30,20160113,210000,100.2000000,100.2700000,99.9100000,100.1200000,2585530
US1.AAPL,30,20160113,213000,100.1200000,100.1800000,99.5900000,99.6399000,3281530
US1.AAPL,30,20160113,220000,99.6300000,99.8300000,98.2600000,98.4000000,3678578
US1.AAPL,30,20160113,223000,98.3810000,98.9100000,98.2900000,98.7500000,3379028
US1.AAPL,30,20160113,230000,98.7400000,98.7400000,97.8500000,98.1500000,4762100
US1.AAPL,30,20160113,233000,98.1500000,98.6700000,97.8400000,98.2600000,4656069
US1.AAPL,30,20160114,000000,98.2500000,98.4190000,97.3000000,97.4100000,7429506
US1.AAPL,30,20160114,180000,97.9600000,98.0200000,95.7600000,95.9796000,8868015
US1.AAPL,30,20160114,183000,95.9408000,97.2200000,95.7400000,97.2100000,6761455
US1.AAPL,30,20160114,190000,97.1900000,98.3200000,96.9700000,97.9100000,5573954
US1.AAPL,30,20160114,193000,97.9300000,98.1300000,97.2700000,97.7600000,2986178
US1.AAPL,30,20160114,200000,97.7800000,98.3300000,97.4100000,98.1699000,2685291
US1.AAPL,30,20160114,203000,98.1700000,98.3500000,97.7300000,97.8900000,2093958
US1.AAPL,30,20160114,210000,97.9200000,98.7200000,97.8400000,98.5300000,2689822
US1.AAPL,30,20160114,213000,98.5300000,99.3500000,98.4500000,99.2000000,2949287
US1.AAPL,30,20160114,220000,99.2099000,99.5800000,98.9000000,99.4719000,2573850
US1.AAPL,30,20160114,223000,99.4800000,99.8650000,99.4310000,99.6800000,3239446
US1.AAPL,30,20160114,230000,99.6700000,100.1750000,99.6000000,100.0500000,4007613
US1.AAPL,30,20160114,233000,100.0500000,100.4800000,100.0000000,100.1050000,3885294
US1.AAPL,30,20160115,000000,100.1010000,100.1300000,99.3500000,99.5100000,6462725
US1.AAPL,30,20160115,180000,96.2000000,97.5000000,95.8700000,96.9960000,10962499
US1.AAPL,30,20160115,183000,97.0020000,97.3500000,96.6302000,96.8200000,4996793
US1.AAPL,30,20160115,190000,96.8235000,97.1600000,96.0200000,96.0840000,4024160
US1.AAPL,30,20160115,193000,96.0720000,96.4600000,95.7800000,96.4500000,5404066
US1.AAPL,30,20160115,200000,96.4600000,96.5300000,96.0000000,96.0500000,3071624
US1.AAPL,30,20160115,203000,96.0400000,96.2500000,95.5900000,95.8200000,3564542
US1.AAPL,30,20160115,210000,95.8200000,96.6600000,95.3600000,96.5700000,5389695
US1.AAPL,30,20160115,213000,96.5600000,97.2500000,96.4200000,96.8570000,4805632
US1.AAPL,30,20160115,220000,96.8401000,97.5300000,96.6000000,97.2100000,3869487
US1.AAPL,30,20160115,223000,97.2199000,97.2500000,96.7200000,96.8200000,3016130
US1.AAPL,30,20160115,230000,96.8100000,97.5990000,96.7100000,97.5200000,3879248
US1.AAPL,30,20160115,233000,97.5100000,97.7100000,96.7400000,97.2000000,4209962
US1.AAPL,30,20160116,000000,97.2000000,97.2500000,96.8850000,97.0900000,5435744
US1.AAPL,30,20160119,180000,98.4100000,98.6500000,97.6500000,97.8800000,6231280
US1.AAPL,30,20160119,183000,97.8800000,98.1000000,97.5200000,98.0500000,3717030
US1.AAPL,30,20160119,190000,98.0600000,98.0800000,96.8900000,97.0050000,3592245
US1.AAPL,30,20160119,193000,97.0020000,97.1800000,96.2300000,96.7500000,3582052
US1.AAPL,30,20160119,200000,96.7500000,96.9100000,96.3974000,96.4700000,2727113
US1.AAPL,30,20160119,203000,96.4650000,96.7400000,96.1700000,96.5304000,2468119
US1.AAPL,30,20160119,210000,96.5400000,96.8500000,96.2900000,96.5901000,2173174
US1.AAPL,30,20160119,213000,96.5900000,96.8700000,96.4500000,96.5650000,2129627
US1.AAPL,30,20160119,220000,96.5600000,96.6200000,96.1900000,96.2700000,1899259
US1.AAPL,30,20160119,223000,96.2700000,96.3300000,95.5000000,96.0800000,3758721
US1.AAPL,30,20160119,230000,96.0800000,96.2300000,95.5500000,95.9100000,2700658
US1.AAPL,30,20160119,233000,95.9000000,96.7301000,95.7900000,96.6900000,3117816
US1.AAPL,30,20160120,000000,96.6900000,97.0000000,96.6000000,96.6800000,5294361
US1.AAPL,30,20160120,180000,95.1000000,95.4700000,94.4200000,94.5200000,8265745
US1.AAPL,30,20160120,183000,94.5020000,94.8100000,93.9100000,94.0400000,5507496
US1.AAPL,30,20160120,190000,94.0300000,94.1100000,93.4200000,93.5001000,5268646
US1.AAPL,30,20160120,193000,93.5100000,94.3700000,93.4500000,94.2900000,4528629
US1.AAPL,30,20160120,200000,94.2950000,94.8600000,93.7800000,94.0800000,4167170
US1.AAPL,30,20160120,203000,94.0800000,94.3690000,93.6950000,94.0000000,3519482
US1.AAPL,30,20160120,210000,93.9950000,94.6500000,93.8500000,94.5700000,3484110
US1.AAPL,30,20160120,213000,94.5605000,94.9000000,94.1400000,94.7100000,3651999
US1.AAPL,30,20160120,220000,94.7000000,95.8000000,94.6900000,95.5960000,4577164
US1.AAPL,30,20160120,223000,95.5980000,95.9800000,95.2100000,95.6900000,3519645
US1.AAPL,30,20160120,230000,95.6999000,96.2400000,95.3410000,95.8600000,3490656
US1.AAPL,30,20160120,233000,95.8400000,98.1897000,95.7102000,98.0000000,5894365
US1.AAPL,30,20160121,000000,98.0000000,98.0900000,96.6800000,96.8100000,6947841
US1.AAPL,30,20160121,180000,97.0600000,97.2300000,94.9400000,95.1900000,6229716
US1.AAPL,30,20160121,183000,95.2400000,96.7899000,95.1800000,96.5600000,4782839
US1.AAPL,30,20160121,190000,96.5700000,97.0800000,96.2500000,96.4400000,3801294
US1.AAPL,30,20160121,193000,96.4500000,97.3900000,96.2700000,96.8500000,3601054
US1.AAPL,30,20160121,200000,96.8400000,97.7800000,96.8300000,97.6999000,3055076
US1.AAPL,30,20160121,203000,97.6990000,97.8800000,97.3300000,97.6400000,2943717
US1.AAPL,30,20160121,210000,97.6500000,97.7900000,97.1600000,97.3600000,2281794
US1.AAPL,30,20160121,213000,97.3650000,97.5900000,96.9700000,96.9800000,2359260
US1.AAPL,30,20160121,220000,96.9899000,97.2300000,96.7100000,96.8300000,2342913
US1.AAPL,30,20160121,223000,96.8200000,96.9500000,95.8500000,96.1620000,2754654
US1.AAPL,30,20160121,230000,96.1620000,96.9900000,96.1200000,96.9230000,2664128
US1.AAPL,30,20160121,233000,96.9300000,96.9500000,96.1600000,96.2800000,2619063
US1.AAPL,30,20160122,000000,96.2760000,96.8600000,96.2500000,96.2600000,3500415
US1.AAPL,30,20160122,180000,98.5000000,99.8400000,98.3700000,99.8300000,8310237
US1.AAPL,30,20160122,183000,99.8300000,99.8900000,99.2600000,99.4200000,5324499
US1.AAPL,30,20160122,190000,99.4280000,100.1800000,99.4100000,99.4710000,5945607
US1.AAPL,30,20160122,193000,99.4700000,99.6200000,98.9000000,99.5078000,4842483
US1.AAPL,30,20160122,200000,99.5100000,99.6200000,99.0200000,99.3800000,2990977
US1.AAPL,30,20160122,203000,99.3700000,100.1900000,99.3230000,100.0476000,3432929
US1.AAPL,30,20160122,210000,100.0450000,100.2800000,99.7200000,100.1800000,3328564
US1.AAPL,30,20160122,213000,100.1900000,100.3200000,100.0100000,100.1400000,2583539
US1.AAPL,30,20160122,220000,100.1500000,100.3900000,100.0359000,100.3540000,2088628
US1.AAPL,30,20160122,223000,100.3600000,100.6800000,100.2600000,100.5600000,3319336
US1.AAPL,30,20160122,230000,100.5625000,100.9200000,100.3800000,100.8968000,4108225
US1.AAPL,30,20160122,233000,100.9000000,100.9700000,100.5700000,100.8900000,3613719
US1.AAPL,30,20160123,000000,100.8900000,101.4600000,100.7400000,101.4200000,7624791
US1.AAPL,30,20160125,180000,101.5200000,101.5300000,100.1200000,100.9300000,7626991
US1.AAPL,30,20160125,183000,100.9100000,101.4450000,100.7100000,100.9625000,4686939
US1.AAPL,30,20160125,190000,100.9652000,101.2042000,100.3900000,100.8100000,2975539
US1.AAPL,30,20160125,193000,100.8000000,100.8100000,100.3600000,100.6101000,2560109
US1.AAPL,30,20160125,200000,100.6200000,100.7199000,100.2300000,100.4800000,2134696
US1.AAPL,30,20160125,203000,100.4900000,100.6000000,100.2700000,100.2800000,2327050
US1.AAPL,30,20160125,210000,100.2700000,101.2100000,100.2500000,100.8400000,2649158
US1.AAPL,30,20160125,213000,100.8400000,101.1000000,100.7300000,100.7590000,1586899
US1.AAPL,30,20160125,220000,100.7600000,100.8900000,100.4900000,100.4900000,2150169
US1.AAPL,30,20160125,223000,100.5000000,100.5800000,100.3000000,100.5301000,1801544
US1.AAPL,30,20160125,230000,100.5300000,100.5699000,100.3500000,100.4100000,1771805
US1.AAPL,30,20160125,233000,100.4100000,100.5100000,99.7650000,99.8100000,3434430
US1.AAPL,30,20160126,000000,99.8000000,99.9400000,99.2100000,99.4660000,5966061
US1.AAPL,30,20160126,180000,99.9200000,100.0500000,98.0700000,98.4900000,7380841
US1.AAPL,30,20160126,183000,98.4720000,99.3900000,98.3200000,99.2541000,4863647
US1.AAPL,30,20160126,190000,99.2600000,100.1300000,99.1350000,99.7300000,4582465
US1.AAPL,30,20160126,193000,99.7300000,100.2500000,99.7100000,100.1110000,3398945
US1.AAPL,30,20160126,200000,100.1080000,100.7900000,99.9930000,100.3400000,3692773
US1.AAPL,30,20160126,203000,100.3500000,100.7800000,100.3000000,100.4000000,2690583
US1.AAPL,30,20160126,210000,100.4000000,100.5115000,100.2100000,100.3899000,1872073
US1.AAPL,30,20160126,213000,100.3850000,100.5000000,99.9100000,100.2300000,2626162
US1.AAPL,30,20160126,220000,100.2200000,100.3500000,100.0150000,100.1200000,2078842
US1.AAPL,30,20160126,223000,100.1200000,100.2050000,99.9800000,100.1250000,2731729
US1.AAPL,30,20160126,230000,100.1250000,100.8800000,100.1200000,100.3601000,4705285
US1.AAPL,30,20160126,233000,100.3601000,100.4060000,99.0400000,99.4700000,5637427
US1.AAPL,30,20160127,000000,99.4675000,100.0400000,99.2600000,99.9800000,9122458
US1.AAPL,30,20160127,180000,96.0400000,96.6289000,94.6600000,95.3280000,24078210
US1.AAPL,30,20160127,183000,95.3200000,95.5500000,94.3800000,94.6800000,11747667
US1.AAPL,30,20160127,190000,94.6900000,94.9400000,94.2200000,94.2776000,8843087
US1.AAPL,30,20160127,193000,94.2700000,94.4900000,94.0400000,94.2030000,7913355
US1.AAPL,30,20160127,200000,94.2000000,95.4200000,94.2000000,95.4100000,9778912
US1.AAPL,30,20160127,203000,95.4100000,96.1900000,95.2900000,95.5300000,12172945
